editor.lib,CDDL-GPL-2-CP
editor.lib2,CDDL-GPL-2-CP
editor.macros,CDDL-GPL-2-CP
editor.mimelookup,CDDL-GPL-2-CP
editor.mimelookup.impl,CDDL-GPL-2-CP
editor.plain,CDDL-GPL-2-CP
editor.plain.lib,CDDL-GPL-2-CP
editor.search,CDDL-GPL-2-CP
editor.settings,CDDL-GPL-2-CP
editor.settings.lib,CDDL-GPL-2-CP
editor.settings.storage,CDDL-GPL-2-CP
editor.structure,CDDL-GPL-2-CP
editor.tools.storage,CDDL-GPL-2-CP
editor.util,CDDL-GPL-2-CP
el.lexer,CDDL-GPL-2-CP
extbrowser,CDDL-GPL-2-CP
extbrowser.chrome,CDDL-GPL-2-CP
extexecution,CDDL-GPL-2-CP
extexecution.base,CDDL-GPL-2-CP
extexecution.destroy,N/A
extexecution.impl,CDDL-GPL-2-CP
extexecution.process,CDDL-GPL-2-CP
extexecution.process, MIT
extexecution.process, MIT
extexecution.process, MIT
extexecution.process.jdk9,CDDL-GPL-2-CP
favorites,CDDL-GPL-2-CP
findbugs,CDDL-GPL-2-CP
findbugs.installer,CDDL-GPL-2-CP
form,CDDL-GPL-2-CP
form.binding,CDDL-GPL-2-CP
form.j2ee,CDDL-GPL-2-CP
form.kit,CDDL-GPL-2-CP
form.nb,CDDL-GPL-2-CP
form.refactoring,CDDL-GPL-2-CP
git,CDDL-GPL-2-CP
git.remote,CDDL-GPL-2-CP
git.remote.cli,CDDL-GPL-2-CP
glassfish.cloud,CDDL-GPL-2-CP
glassfish.common,CDDL-GPL-2-CP
glassfish.eecommon,CDDL-GPL-2-CP
glassfish.javaee,CDDL-GPL-2-CP
glassfish.tooling,CDDL-GPL-2-CP
gototest,CDDL-GPL-2-CP
groovy.antproject,CDDL-GPL-2-CP
groovy.editor,CDDL-GPL-2-CP
groovy.grails,CDDL-GPL-2-CP
groovy.grailsproject,CDDL-GPL-2-CP
groovy.gsp,CDDL-GPL-2-CP
groovy.kit,CDDL-GPL-2-CP
groovy.refactoring,CDDL-GPL-2-CP
groovy.samples,CDDL-GPL-2-CP
groovy.support,CDDL-GPL-2-CP
gsf.codecoverage,CDDL-GPL-2-CP
gsf.testrunner,CDDL-GPL-2-CP
gsf.testrunner.ui,CDDL-GPL-2-CP
